ID,阶段 (Phase),模块 (Module),子模块/功能点 (Sub-Module/Feature),开发步骤 (Development Step),建议的用户给AI的指令 (Suggested User Prompt for AI),预期成果 (Expected Outcome),相关模型/文件 (Relevant Models/Files),优先级 (Priority)
"PH4_001","阶段4: 后台强化与用户管理","后台管理","Excel/CSV题目导入","在Django Admin的Question管理后台，增加通过上传Excel或CSV文件批量导入题目的功能，实现基于 `question_hash` 的题目去重。","扩展 `questions/admin.py` 中的 `QuestionAdmin`。1. 添加自定义admin action或独立上传视图。2. 解析CSV/Excel文件，映射到`Question`字段。3. 创建`Question`对象前，生成`question_hash`，检查是否存在以去重。反馈导入结果。","管理员可批量导入题目，系统自动去重。","questions/models.py (Question), questions/admin.py, (可能需pandas/openpyxl)","中"
"PH4_002","阶段4: 后台强化与用户管理","后台管理","管理员用户列表与管理","在Django Admin中提供用户列表，管理员可以查看用户信息，并进行启用/禁用操作。","定制 `django.contrib.auth.admin.UserAdmin` 或创建一个新的 `UserProfileAdmin` (如果您有 `UserProfile` 模型)。在 `list_display` 中添加 `is_active` 字段，并确保它是可编辑的，或提供 admin action 来切换用户的 `is_active` 状态。","管理员可以管理系统用户账户。","django.contrib.auth.models.User, admin.py (for users app)","中"
"PH5_001","阶段5: 高级练习与UX","题库核心功能 - 交互","错题练习模式","根据用户在练习或模拟考试中的错误记录，提供专门的错题练习功能。","创建 `IncorrectQuestionPracticeView`。从 `UserProgress.details` (假设其中存储了错题ID列表) 或通过分析 `ExamSession` 记录获取用户答错的题目ID列表。用户选择科目后，只从这些错题中出题进行练习。","用户可以针对性地练习自己的薄弱环节。","progress/models.py (UserProgress), exams/models.py (ExamSession), questions/views.py (new view)","中"
"PH5_002","阶段5: 高级练习与UX","题库核心功能 - 交互","题目与选项随机化","在模拟考试时，随机打乱题目顺序以及选择题的选项顺序。","修改 `StartExamView` (或题目获取逻辑)，在抽取题目后打乱 `questions_list` 的顺序。修改 `TakeExamView` 和 `practice_question.html` / `take_exam.html` 模板，对于选择题，在渲染选项前打乱 `Question.options` 的顺序（注意要同时处理正确答案的对应）。","增加模拟考试的挑战性和公平性。","exams/views.py, questions/views.py, templates","中"
"PH5_003","阶段5: 高级练习与UX","用户体验","模拟考试倒计时","在模拟考试页面增加倒计时功能。","在 `take_exam.html` 模板中，使用JavaScript实现倒计时器。考试开始时间可以从 `ExamSession.start_time` 获取，或者设定一个固定的考试时长。时间到后可自动提交或提示用户。","增强模拟考试的真实感和紧迫感。","exams/templates/exams/take_exam.html, JavaScript","低"
"PH5_004","阶段5: 高级练习与UX","用户体验","题目书签功能","允许用户收藏重要的题目，并在个人中心查看已收藏的题目列表。","创建 `BookmarkedQuestion` 模型 (User FK, Question FK)。创建视图和模板片段，允许用户在题目旁边点击"收藏"按钮。创建个人中心页面，列出用户所有收藏的题目。","用户可以方便地回顾重要题目。","(new app bookmarks)/models.py, views.py, templates","低"
"PH5_005","阶段5: 高级练习与UX","用户体验","用户学习报告","在用户个人中心展示其学习进度报告，如图表化展示已学题目数、正确率、各科目考试成绩趋势等。","创建 `UserProfileView` 或 `ProgressReportView`。从 `UserProgress` 和 `ExamSession` 模型获取数据。使用图表库 (如Chart.js) 在模板中将数据可视化。","用户可以直观了解自己的学习情况。","progress/models.py, exams/models.py, views.py, templates, JavaScript (Chart.js)","低"
"PH6_001","阶段6: AI集成与内容工具","AI集成","AI题目生成界面 (后台)","管理员在后台选择科目，调用AI接口（ChatGPT/DeepSeek）生成题目和答案，生成内容可供管理员审核和修改后保存。题目需标记为AI生成。","创建 `AIGenerateQuestionView` (admin-only)。选择科目后，准备prompt调用外部AI API。获取返回的题目内容、选项、答案、解析。表单展示这些内容，允许管理员编辑。保存时设置 `Question.is_ai_generated=True`。","提高题目生产效率，丰富题库内容。","questions/models.py (Question), questions/views.py (admin view), (需要API client for ChatGPT/DeepSeek)","中"
"PH6_002","阶段6: AI集成与内容工具","用户体验","题目反馈系统","用户可以对题目内容、答案或解析进行反馈（如报告错误、提出建议）。管理员可在后台查看并处理这些反馈。","创建 `QuestionFeedback` 模型 (User FK, Question FK, feedback_text, status (e.g. open, resolved), created_at)。在题目练习或结果页面添加反馈按钮和表单。创建 `QuestionFeedbackAdmin` 供管理员查看和更新反馈状态。","提升题目质量，增强用户互动。","(new app feedback)/models.py, forms.py, views.py, admin.py","中"
"PH6_003","阶段6: AI集成与内容工具","题库核心功能 - 前端","题目搜索与过滤","用户可以在前端按关键词、科目、难度、题型等条件搜索和过滤题目。","创建 `QuestionSearchView`。使用Django Form处理搜索条件。在视图中使用Q对象或 `django-filter` 库根据条件过滤 `Question` 查询集。在模板中展示过滤结果。","方便用户快速找到目标题目。","questions/models.py (Question), questions/forms.py, questions/views.py, (django-filter optional)","中"
"PH7_001","阶段7: UI/UX优化与其他","用户体验","移动端适配","使用Bootstrap或Tailwind CSS框架，确保所有用户界面在桌面、平板和手机上都有良好的响应式表现。","选择一个CSS框架 (如Bootstrap)。将其集成到项目的 `base.html` 模板中。逐步更新现有模板 (`subject_list.html`, `subject_detail.html`, `practice_question.html`等) 的HTML结构和CSS类，以实现响应式布局。","提升移动端用户的使用体验。","templates (base.html, etc.), static CSS/JS","中"
"PH7_002","阶段7: UI/UX优化与其他","用户体验","排行榜与激励","为模拟考试提供排行榜功能，激励用户。","根据 `ExamSession` 或 `UserProgress` 中的最高分数据为每个科目生成排行榜。可使用 Redis 缓存排行榜数据以提高性能。创建 `LeaderboardView` 展示排名。","增加用户学习的趣味性和竞争性。","exams/models.py, progress/models.py, views.py, (Redis optional)","低"
"PH7_003","阶段7: UI/UX优化与其他","安全与权限","角色权限细化","根据需要，使用Django的Group和Permission机制，为不同用户角色（例如，普通用户、VIP用户、不同权限的管理员）配置更细致的访问权限。","在Django Admin中创建用户组 (Groups)。为这些组分配特定的权限 (Permissions)，这些权限可以针对模型级别（增删改查）或自定义的视图级别。将用户分配到相应的组中。在视图中按需检查用户权限。","确保系统功能按角色安全访问。","django.contrib.auth.models (Group, Permission), admin.py, views.py (permission checks)","中" 
