"ID"|"階段 (Phase)"|"功能模塊 (Module)"|"子模塊/功能 (Sub-Module/Feature)"|"開發步驟 (Development Step)"|"當前狀態 (Status)"|"AI 提示/開發建議 (AI Prompt/Suggestion)"|"相關模型/文件 (Relevant Models/Files)"|"優先級 (Priority)"
"PH2-04"|"UX & 互動"|"題庫核心"|"題目書籤功能"|"允許用戶在練習或查看題目時收藏重要的題目, 並提供一個書籤列表頁面以便快速訪問。"|"待辦"|"建議： 創建 Bookmark 多對多模型關聯 CustomUser 和 Question。使用 AJAX 端點處理收藏/取消收藏, 避免頁面刷新。"|"users/models.py (新模型), questions/views.py (新視圖/端點)"|"中"
"PH2-05"|"UX & 互動"|"模擬考試"|"考試倒數計時器"|"在 take_exam.html 頁面增加一個視覺化的倒數計時器, 時間結束後自動提交試卷。"|"待辦"|"建議： 使用 JavaScript。在進入頁面時記錄伺服器開始時間和時長, 用 setInterval 每秒更新顯示。時間到時觸發 form.submit()。"|"exams/templates/take_exam.html (JS)"|"中"
"PH2-06"|"UX & 互動"|"模擬考試"|"排行榜與激勵"|"建立一個基於模擬考最高分的排行榜, 可以按科目或總分排名。"|"待辦"|"建議： 對於高流量場景, 可使用 Redis 的 Sorted Set 結構來高效存儲和查詢排行榜。創建一個定時任務 (如 Celery Beat) 來定期更新榜單。"|"progress/models.py, Redis, celery"|"低"
"PH2-07"|"UX & 互動"|"使用者系統"|"題目反饋系統"|"在題目頁面增加一個反饋按鈕, 用戶可以報告題目錯誤或提出建議。"|"待辦"|"建議： 創建 QuestionFeedback 模型, 包含 user, question, feedback_content, status (未處理/已處理) 等字段。"|"feedback/models.py, feedback/forms.py"|"低"
"PH3-01"|"後台與內容"|"後台管理"|"CSV/Excel 題目導入"|"在 Django Admin 中增加導入功能, 允許管理員通過上傳 CSV 或 Excel 文件批量添加題目, 系統需處理重複題目。"|"待辦"|"建議： 整合 django-import-export 套件。為 Question 模型創建 ModelResource, 並在 QuestionAdmin 中繼承 ImportExportModelAdmin。"|"questions/admin.py, django-import-export"|"高"
"PH3-02"|"後台與內容"|"AI 整合"|"AI 題目生成"|"開發一個後台功能, 管理員可選擇一個科目, 調用 ChatGPT 或 DeepSeek API, 根據現有題庫生成新的、風格相似的題目。"|"待辦"|"建議： 創建一個管理命令或後台視圖。Prompt 範例: ""你是一位{subject.name}專家。請根據以下5個範例題目, 為我生成3個新的、難度為'{difficulty}'的{question_type}題目, 並以JSON格式返回, 包含'content', 'options', 'correct_answer'和'explanation'。""","questions/management/commands/generate_ai_questions.py"|"高"
"PH3-03"|"後台與內容"|"後台管理"|"用戶管理儀表板"|"在後台為管理員提供用戶列表, 可以查看用戶的購買記錄、活動狀態, 並能手動啟用/禁用用戶。"|"待辦"|"建議： 在 users/admin.py 中客製化 CustomUserAdmin, 使用 list_display 顯示相關信息, 並添加 admin action 來快速啟用/禁用用戶。"|"users/admin.py"|"中"
"PH4-01"|"支付與安全"|"支付流程"|"靜態二維碼支付"|"實現 MPay/中銀的支付流程：用戶在前端點擊"購買"後, 頁面顯示一個靜態收款二維碼。"|"待辦"|"建議： 由於是靜態碼, 後端無需生成。只需在 payments 應用中創建一個頁面, 展示對應科目的價格和二維碼圖片即可。"|"payments/views.py, payments/templates/show_qr.html"|"高"
"PH4-02"|"支付與安全"|"支付流程"|"手動訂單確認"|"在支付頁面提供一個"我已付款"按鈕。用戶點擊後, 系統向管理員郵箱發送一封包含用戶信息和購買科目的郵件。"|"待辦"|"建議： 創建 confirm_payment 視圖。該視圖不處理支付, 僅使用 Django 的 send_mail 功能發送郵件。需要配置好 settings.py 中的 EMAIL_BACKEND。"|"payments/views.py (新視圖), core_settings/settings.py"|"高"
"PH4-03"|"支付與安全"|"支付流程"|"手動開通科目"|"管理員在收到郵件並確認收款後, 在後台手動創建一條 UserSubjectPurchase 記錄, 為用戶開通科目權限。"|"待辦"|"建議： 在 users/admin.py 中註冊 UserSubjectPurchase 模型。這樣管理員就可以在後台方便地進行"新增"操作。"|"users/admin.py, users/models.UserSubjectPurchase"|"高"
"PH4-04"|"支付與安全"|"安全加固"|"權限與安全審查"|"使用 Django 的 Group 和 Permission 系統, 明確區分普通用戶和管理員權限。全面審查代碼, 防止常見的 Web 攻擊。"|"部分完成"|"Django 默認提供了良好的安全基礎。待辦： 需為後台視圖添加權限檢查 (如 UserPassesTestMixin), 確保只有管理員能訪問特定頁面。"|"django.contrib.auth, views.py 中的 Mixins"|"核心" 
